Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,Abstract
Human-centred SME factories: the future of work in SMEs under industry 5.0,Future Business Journal,,,,10.1186/s43093-025-00553-3,Philani Nduna ZincumeMaria Maier,2025,https://link.springer.com/article/10.1186/s43093-025-00553-3,Article,"This study examines the transition of SMEs in the manufacturing sector towards Industry 5.0, emphasising a human-centred approach using the human–technology–organisation (HTO) model. It explores how Industry 5.0 integrates the human element into automated processes, requiring SMEs to adapt technologically, socially, and organisationally. The research, based on a literature review and expert interviews from Germany, Slovakia, and South Africa, identifies key challenges and requirements for SME adaptation. These include regional challenges like data privacy in Europe and skills deficits in South Africa. The findings categorise challenges into workforce availability, regulatory changes, institutional cooperation, and technological advancements. The paper highlights the necessity of international collaboration and policy reform to support SMEs in this transition, providing both theoretical insights and practical strategies for navigating Industry 5.0."
A system-based approach to value prioritization in industry 5.0 for sustainable value creation,Discover Sustainability,,,,10.1007/s43621-025-01134-8,Parisa Jourabchi AmirkhiziSiamak PedrammehrSajjad Pakzad,2025,https://link.springer.com/article/10.1007/s43621-025-01134-8,Article,"This study aims to prioritize the concept of value in the context of Industry 5.0, emphasizing a shift from traditional efficiency metrics to a focus on interconnected value dimensions. The primary objective is to explore how the evolution of value perspectives through industrial revolutions has influenced the strategic direction of Industry 5.0. A systematic approach was adopted, combining an extensive literature review, content analysis, and Interpretive Structural Modeling (ISM). This methodology was employed to create a strategic roadmap and a value model that elucidates the interrelationships among the core components of value in Industry 5.0. The study finds that the concept of value has undergone significant transformations across industrial eras, culminating in Industry 5.0, which presents a distinct and human-centric definition. The research identifies critical value dimensions that interconnect human welfare, sustainability, and technological progress. Through ISM, the study outlines how these elements interact and influence industrial practices, offering a fresh perspective on value prioritization. The findings offer valuable insights for policymakers, businesses, and organizations to realign their strategies and activities with the evolving values of Industry 5.0. Emphasizing human-centric technology and sustainability, the study provides actionable guidelines to enhance performance and ensure that organizational goals contribute to the broader objectives of Industry 5.0. This research introduces a novel perspective by integrating humanities and a systems-based outlook in understanding the role of value in industrial and social development. It highlights the transformative impact of Industry 5.0, marking a significant departure from previous industrial paradigms. The study’s originality lies in its comprehensive approach to prioritizing value dimensions and its potential to guide both academic research and industrial practices."
Enhancing Security in CPS Industry 5.0 using Lightweight MobileNetV3 with Adaptive Optimization Technique,Scientific Reports,,,,10.1038/s41598-025-00496-3,Mohammed A. Aleisa,2025,https://link.springer.com/article/10.1038/s41598-025-00496-3,Article,"Advanced Cyber-Physical Systems (CPS) that facilitate seamless communication between humans, machines, and objects are revolutionizing industrial automation as part of Industry 5.0, which is being driven by technologies such as IIoT, cloud computing, and artificial intelligence. In addition to providing flexible, individualized production processes, this growth brings with it fresh cybersecurity risks including Distributed Denial of Service (DDoS) attacks. This research suggests a deep learning-based approach designed to enhance security in CPS to address these issues. The system’s primary goal is to identify and stop advanced cyberattacks. The strategy guarantees strong protection for industrial processes in a networked, intelligent environment. This study offers a sophisticated paradigm for improving Cyber-Physical Systems (CPS) security in Industry 5.0 by combining effective data preprocessing, thin edge computing, and strong encryption methods. The method starts with preprocessing the IoT23 dataset, which includes utilizing Gaussian filters to reduce noise, Mean Imputation to handle missing values, and Min-Max normalization to data scaling. The model uses flow-based, time-based, statistical, and deep feature extraction using ResNet-101 for feature extraction. Computational efficiency is maximized through the implementation of MobileNetV3, a thin convolutional neural network optimized for mobile and edge devices. The accuracy of the model is further improved by applying a Chaotic Tent-based Puma Optimization (CTPOA) technique. Finally, to ensure secure data transfer and protect private data in CPS settings, AES encryption is combined with discretionary access control. This comprehensive framework enables high performance, achieving 99.91% accuracy, and provides strong security for Industry 5.0 applications."
From Industry 4.0 to Industry 5.0: Problems and Opportunities for the Metal Industry Development in Russia,Steel in Translation,,,,10.3103/S0967091224700438,O. A. RomanovaD. V. Sirotin,2024,https://link.springer.com/article/10.3103/S0967091224700438,Article,"Abstract
Transferring the Russian economy to a new technological basis that meets the basic principles and criteria not only of Industry 4.0, but also the conceptual foundations of the emerging Industry 5.0 is the only way to achieve technological sovereignty. It is natural for metallurgy to follow this development option. The development trends of domestic metallurgy in this direction are studied, the increasing importance of environmental and social responsibility of metallurgical companies is established, and technological and organizational guidelines for their further development are determined. Positive changes in the development of metallurgy related to the implementation of ESG parameters that meet the principles of the Industry 5.0 concept, as well as the achievement of its sustainability, are substantiated."
A Novel Gait Identity Recognition Method for Personalized Human-robot Collaboration in Industry 5.0,Chinese Journal of Mechanical Engineering,,,,10.1186/s10033-025-01348-x,Zhangli LuRuohan WangHuiying ZhouNa DongHonghao LyuGeng Yang,2025,https://link.springer.com/article/10.1186/s10033-025-01348-x,Article,"The integration of human-robot collaboration (HRC) in manufacturing, particularly within the framework of Human-Cyber-Physical Systems (HCPS) and the emerging paradigm of Industry 5.0, has the potential to significantly enhance productivity, safety, and ergonomics. However, achieving seamless collaboration requires robots to recognize the identity of individual human workers and perform appropriate collaborative operations. This paper presents a novel gait identity recognition method using Inertial Measurement Unit (IMU) data to enable personalized HRC in manufacturing settings, contributing to the human-centric vision of Industry 5.0. The hardware of the entire system consists of the IMU wearable device as the data source and a collaborative robot as the actuator, reflecting the interconnected nature of HCPS. The proposed method leverages wearable IMU sensors to capture motion data, including 3-axis acceleration, 3-axis angular velocity. The two-tower Transformer architecture is employed to extract and analyze gait features. It consists of Temporal and Channel Modules, multi-head Auto-Correlation mechanism, and multi-scale convolutional neural network (CNN) layers. A series of optimization experiments were conducted to improve the performance of the model. The proposed model is compared with other state-of-the-art studies on two public datasets as well as one self-collected dataset. The experimental results demonstrate the better performance of our method in gait identity recognition. It is experimentally verified in the manufacturing environment involving four workers and one collaborative robot in an HRC assembly task, showcasing the practical applicability of this human-centric approach in the context of Industry 5.0."
A blockchain-based privacy-preserving data governance framework for Industry 5.0 smart factories,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02169-4,Ruikang SunShaopeng Guan,2025,https://link.springer.com/article/10.1007/s12083-025-02169-4,Article,"The transition toward Industry 5.0 necessitates unprecedented multi-stakeholder collaboration within smart factories, raising critical concerns regarding data privacy and access control. Traditional centralized systems prove inadequate for this paradigm shift, struggling to balance secure data sharing with system interoperability. While existing research has explored access control mechanisms and zero-knowledge proofs (ZKPs), these approaches lack systematic integration and comprehensive validation. To address this gap, we propose a blockchain-enabled framework leveraging Hyperledger Fabric that cohesively integrates cryptographic and architectural mechanisms for privacy-preserving data management. Our architecture introduces a dual-layer privacy model: coarse-grained data segregation through multi-channel isolation complemented by fine-grained confidentiality via embedded zero-knowledge proofs for sensitive transactional data. This enables stakeholders to verify business rule compliance without exposing private information. Furthermore, we implement dynamic attribute-based access control (ABAC) within smart contracts for context-aware permission enforcement, overcoming static access policy limitations. Experimental evaluation demonstrates the framework’s effectiveness: maintaining consistent ZKP entropy of approximately 7.65 bits/byte for robust privacy, while achieving 21 transactions per second throughput with 3-second average latency. These results validate that our architecture delivers a practical and scalable solution for secure, privacy-preserving data governance in Industry 5.0 smart manufacturing environments."
Improving safety in human–robot collaboration towards sustainable production in Industry 5.0,Journal of Intelligent Manufacturing,,,,10.1007/s10845-025-02676-4,Justyna Patalas-MaliszewskaHanna ŁosykAdam Dudek,2025,https://link.springer.com/article/10.1007/s10845-025-02676-4,Article,"The widespread implementation of Human–Robot Collaborations (HRC) in industry is becoming an obvious step in the era of Industry 4.0 or even 5.0 and the requirements of sustainable production (SP) due to the increase in productivity and quality while reducing production costs. However, due to limited studies on the establishment of collision thresholds in HRC, in-depth research is needed to determine possible disruptions for safety in HRC. So, firstly, in order to identify current issues and critical challenges in the field of HRC safety, an analysis of the literature was carried out using the Systematic Literature Review (SLR) & Mapping in Literature Reviews (MLR) methodology based on the Preferred Reporting Items for Systematic reviews and Meta-Analyses guidelines (PRISMA). A total of 4,107 research articles were identified in Science Direct—Elsevier, Web of Science and Springer, that focussed on safety in HRC in SP. In this study, 103 items were then analysed and 53 in the second stage. The key research contributions are developed as the principles for enhancing safety in HRC in industry: (1) improving HRC workspace safety, (2) building mechanisms for monitoring HRC workspaces and (3) managing ethical issues. In line with these trends, secondly, experimental studies were provided. Next, empirical research was conducted to establish the parameters for ensuring the safety of the monitoring system for work in HRC. Therefore, analysis of the video recordings on the efficiency of detecting collision in HRC, when using the Region-Based Convolutional Neural Network (YOLOv8 Tiny), within the vision system were researched. The experimental studies indicate the necessary actions within a monitoring system in HRC in order to ensure workplace safety in the HRC environment. Finally, the research results suggest future research directions as (1) proactive HRC with attention to collaborative robots and (2) integration with the approach, to ensure safety in HRC into SP strategy in industry. This study provides new insights into HRC and gives an outlook for development of safety issues in HRC in industry.
Graphical abstract"
"Bamboo industrialization in the era of Industry 5.0: an exploration of key concepts, synergies and gaps","Environment, Development and Sustainability",,,,10.1007/s10668-024-05584-4,Lucy BinfieldVahid NasirChunping Dai,2024,https://link.springer.com/article/10.1007/s10668-024-05584-4,Article,"Industry 5.0 is a fifth industrial revolution in which enabling technologies center human wellbeing, sustainability and supply chain resilience in industrial settings. This paper explores the linkages between Industry 5.0 and the mainstreaming of bamboo in industry, particularly in construction. It represents the first attempt to integrate bamboo into Industry 5.0 discourse. Literature of the two concepts is summarized, and a list of Industry 5.0 components is obtained from literature. Then, interviews with expert informants from bamboo-producing countries identify key strengths, weaknesses, challenges and opportunities of bamboo industrialization. Using a frequency-based weighting to rank and weigh these elements, Industry 5.0 components are ranked using the Weighted Sum Model. Our analysis and review found many opportunities for synergy with human-centricity, resilience and sustainability; the key Industry 5.0 pillars. Bamboo is an environmentally friendly material with many applications that already contributes to pro-poor, human-centric livelihoods in many vulnerable communities. However, many applications of bamboo in modern industry are currently limited to research or demonstration, and the global bamboo industry remains at a low level of commercialization and is yet to capitalize on Industry 4.0 advances. Significant investment and efforts are need to realize the potential of bamboo to enhance and be enhanced by the Industry 5.0 transition. Further research can build on this preliminary analysis and create feasible pathways for bamboo integration into Industry 5.0."
Industry 5.0 in aircraft production and MRO: challenges and opportunities,CEAS Aeronautical Journal,,,,10.1007/s13272-025-00832-3,Keno MoenckJulian KochJan-Erik RathLukas BüschJohann GiereckerFalko KählerFlorian KalscheuerChristian MasuhrJohann KippingPhilipp PrünteDaniel SchoepflinHenrik EschenLukas Antonio WulffRebecca RodeckGerko WendeMartin GomseThorsten Schüppstuhl,2025,https://link.springer.com/article/10.1007/s13272-025-00832-3,Article,"Globally interconnecting machines, processes, and resources driven by exploring and advancing new technologies defined Industry 4.0 (I4.0), resulting in, e.g., Cyber-Physical Production Systems (CPPS). The aircraft industry particularly struggled with transforming production and Maintenance, Repair, and Overhaul (MRO) processes, replacing humans with machines and automating as well as digitalizing significant parts of their value- and non-value-adding activities. However, in the face of current social and environmental challenges, future industries will need to shift from purely technology-driven to value-driven, working sustainably with resources, including human capital. Together, these approaches constitute the idea of Industry 5.0 (I5.0). On the one hand, the aviation industry faces the challenge that even I4.0 concepts and technologies are not yet fully exploited or implemented. On the other hand, due to the specific characteristics of aircraft production and MRO as well as the environmental impact of the product, a tremendous potential arises regarding placing human well-being back into the center of adding value and decreasing environmental footprint while building an industry that is resilient and fortified against disruptions of this era. In line with the I5.0 terminology, in this work, we outline the challenges and opportunities of integrating I5.0 principles into the aircraft production and MRO industries, focusing specifically on the scope of selected use cases."
Industry 5.0: Human-Centric Economy and Its Effect on Industry,Russian Engineering Research,,,,10.3103/S1068798X25701400,N. V. Arsen’evaG. V. Tikhonov,2025,https://link.springer.com/article/10.3103/S1068798X25701400,Article,"Abstract
Under the influence of digital technologies such as artificial intelligence (AI), the Internet of Things (IoT), and automated control systems, modern industry is rapidly transforming. However, one of the key obstacles to improving production efficiency lies in delays in data transmission and processing between various elements of the industrial ecosystem. Distributed Intelligence (DI) offers a new paradigm of management of industrial systems, in which decision-making is not centralized, but collective, based on consideration of a variety of factors, and performed in real time."
